case_id,browser,chatgpt_login,shopai_app,merchant,campaign,conversation,expected_result,observed_result,status,evidence
U015-013,desktop_browser,logged_in,not_connected,merchant_A,absent,new_conversation,Web landing resolves active/public merchant_A; no campaign; ChatGPT login already present; ShopAI connection step may be required; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
U015-014,desktop_browser,logged_in,not_connected,merchant_A,absent,repeat_open,Web landing resolves active/public merchant_A; no campaign; ChatGPT login already present; ShopAI connection step may be required; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check repeat_open behavior independently,Not observed; real account/device and published app required,external verification required,
U015-015,desktop_browser,logged_in,not_connected,merchant_A,instagram_bio,new_conversation,Web landing resolves active/public merchant_A; campaign validated in web session; ChatGPT login already present; ShopAI connection step may be required; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
U015-016,desktop_browser,logged_in,not_connected,merchant_A,instagram_bio,repeat_open,Web landing resolves active/public merchant_A; campaign validated in web session; ChatGPT login already present; ShopAI connection step may be required; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check repeat_open behavior independently,Not observed; real account/device and published app required,external verification required,
U015-017,desktop_browser,logged_in,not_connected,merchant_B,absent,new_conversation,Web landing resolves active/public merchant_B; no campaign; ChatGPT login already present; ShopAI connection step may be required; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
U015-018,desktop_browser,logged_in,not_connected,merchant_B,absent,repeat_open,Web landing resolves active/public merchant_B; no campaign; ChatGPT login already present; ShopAI connection step may be required; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check repeat_open behavior independently,Not observed; real account/device and published app required,external verification required,
U015-019,desktop_browser,logged_in,not_connected,merchant_B,instagram_bio,new_conversation,Web landing resolves active/public merchant_B; campaign validated in web session; ChatGPT login already present; ShopAI connection step may be required; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
U015-020,desktop_browser,logged_in,not_connected,merchant_B,instagram_bio,repeat_open,Web landing resolves active/public merchant_B; campaign validated in web session; ChatGPT login already present; ShopAI connection step may be required; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check repeat_open behavior independently,Not observed; real account/device and published app required,external verification required,
U015-021,desktop_browser,logged_in,not_connected,invalid_slug,absent,new_conversation,Web landing rejects merchant (404); no scoped ChatGPT claim; ChatGPT login already present; ShopAI connection step may be required; Invalid merchant must not become ChatGPT scope; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
U015-022,desktop_browser,logged_in,not_connected,invalid_slug,absent,repeat_open,Web landing rejects merchant (404); no scoped ChatGPT claim; ChatGPT login already present; ShopAI connection step may be required; Invalid merchant must not become ChatGPT scope; Check repeat_open behavior independently,Not observed; real account/device and published app required,external verification required,
U015-023,desktop_browser,logged_in,not_connected,invalid_slug,instagram_bio,new_conversation,Web landing rejects merchant (404); no scoped ChatGPT claim; ChatGPT login already present; ShopAI connection step may be required; Invalid merchant must not become ChatGPT scope; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
U015-024,desktop_browser,logged_in,not_connected,invalid_slug,instagram_bio,repeat_open,Web landing rejects merchant (404); no scoped ChatGPT claim; ChatGPT login already present; ShopAI connection step may be required; Invalid merchant must not become ChatGPT scope; Check repeat_open behavior independently,Not observed; real account/device and published app required,external verification required,
U015-025,desktop_browser,logged_out,connected,merchant_A,absent,new_conversation,Web landing resolves active/public merchant_A; no campaign; ChatGPT login may be required; preserve context only if independently verified; ShopAI connection present; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
U015-026,desktop_browser,logged_out,connected,merchant_A,absent,repeat_open,Web landing resolves active/public merchant_A; no campaign; ChatGPT login may be required; preserve context only if independently verified; ShopAI connection present; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check repeat_open behavior independently,Not observed; real account/device and published app required,external verification required,
U015-027,desktop_browser,logged_out,connected,merchant_A,instagram_bio,new_conversation,Web landing resolves active/public merchant_A; campaign validated in web session; ChatGPT login may be required; preserve context only if independently verified; ShopAI connection present; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
U015-028,desktop_browser,logged_out,connected,merchant_A,instagram_bio,repeat_open,Web landing resolves active/public merchant_A; campaign validated in web session; ChatGPT login may be required; preserve context only if independently verified; ShopAI connection present; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check repeat_open behavior independently,Not observed; real account/device and published app required,external verification required,
U015-029,desktop_browser,logged_out,connected,merchant_B,absent,new_conversation,Web landing resolves active/public merchant_B; no campaign; ChatGPT login may be required; preserve context only if independently verified; ShopAI connection present; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
U015-030,desktop_browser,logged_out,connected,merchant_B,absent,repeat_open,Web landing resolves active/public merchant_B; no campaign; ChatGPT login may be required; preserve context only if independently verified; ShopAI connection present; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check repeat_open behavior independently,Not observed; real account/device and published app required,external verification required,
U015-031,desktop_browser,logged_out,connected,merchant_B,instagram_bio,new_conversation,Web landing resolves active/public merchant_B; campaign validated in web session; ChatGPT login may be required; preserve context only if independently verified; ShopAI connection present; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
U015-032,desktop_browser,logged_out,connected,merchant_B,instagram_bio,repeat_open,Web landing resolves active/public merchant_B; campaign validated in web session; ChatGPT login may be required; preserve context only if independently verified; ShopAI connection present; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check repeat_open behavior independently,Not observed; real account/device and published app required,external verification required,
U015-033,desktop_browser,logged_out,connected,invalid_slug,absent,new_conversation,Web landing rejects merchant (404); no scoped ChatGPT claim; ChatGPT login may be required; preserve context only if independently verified; ShopAI connection present; Invalid merchant must not become ChatGPT scope; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
U015-034,desktop_browser,logged_out,connected,invalid_slug,absent,repeat_open,Web landing rejects merchant (404); no scoped ChatGPT claim; ChatGPT login may be required; preserve context only if independently verified; ShopAI connection present; Invalid merchant must not become ChatGPT scope; Check repeat_open behavior independently,Not observed; real account/device and published app required,external verification required,
U015-035,desktop_browser,logged_out,connected,invalid_slug,instagram_bio,new_conversation,Web landing rejects merchant (404); no scoped ChatGPT claim; ChatGPT login may be required; preserve context only if independently verified; ShopAI connection present; Invalid merchant must not become ChatGPT scope; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
U015-036,desktop_browser,logged_out,connected,invalid_slug,instagram_bio,repeat_open,Web landing rejects merchant (404); no scoped ChatGPT claim; ChatGPT login may be required; preserve context only if independently verified; ShopAI connection present; Invalid merchant must not become ChatGPT scope; Check repeat_open behavior independently,Not observed; real account/device and published app required,external verification required,
U015-037,desktop_browser,logged_out,not_connected,merchant_A,absent,new_conversation,Web landing resolves active/public merchant_A; no campaign; ChatGPT login may be required; preserve context only if independently verified; ShopAI connection step may be required; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
U015-038,desktop_browser,logged_out,not_connected,merchant_A,absent,repeat_open,Web landing resolves active/public merchant_A; no campaign; ChatGPT login may be required; preserve context only if independently verified; ShopAI connection step may be required; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check repeat_open behavior independently,Not observed; real account/device and published app required,external verification required,
U015-039,desktop_browser,logged_out,not_connected,merchant_A,instagram_bio,new_conversation,Web landing resolves active/public merchant_A; campaign validated in web session; ChatGPT login may be required; preserve context only if independently verified; ShopAI connection step may be required; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
U015-040,desktop_browser,logged_out,not_connected,merchant_A,instagram_bio,repeat_open,Web landing resolves active/public merchant_A; campaign validated in web session; ChatGPT login may be required; preserve context only if independently verified; ShopAI connection step may be required; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check repeat_open behavior independently,Not observed; real account/device and published app required,external verification required,
U015-041,desktop_browser,logged_out,not_connected,merchant_B,absent,new_conversation,Web landing resolves active/public merchant_B; no campaign; ChatGPT login may be required; preserve context only if independently verified; ShopAI connection step may be required; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
U015-042,desktop_browser,logged_out,not_connected,merchant_B,absent,repeat_open,Web landing resolves active/public merchant_B; no campaign; ChatGPT login may be required; preserve context only if independently verified; ShopAI connection step may be required; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check repeat_open behavior independently,Not observed; real account/device and published app required,external verification required,
U015-043,desktop_browser,logged_out,not_connected,merchant_B,instagram_bio,new_conversation,Web landing resolves active/public merchant_B; campaign validated in web session; ChatGPT login may be required; preserve context only if independently verified; ShopAI connection step may be required; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
U015-044,desktop_browser,logged_out,not_connected,merchant_B,instagram_bio,repeat_open,Web landing resolves active/public merchant_B; campaign validated in web session; ChatGPT login may be required; preserve context only if independently verified; ShopAI connection step may be required; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check repeat_open behavior independently,Not observed; real account/device and published app required,external verification required,
U015-045,desktop_browser,logged_out,not_connected,invalid_slug,absent,new_conversation,Web landing rejects merchant (404); no scoped ChatGPT claim; ChatGPT login may be required; preserve context only if independently verified; ShopAI connection step may be required; Invalid merchant must not become ChatGPT scope; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
U015-046,desktop_browser,logged_out,not_connected,invalid_slug,absent,repeat_open,Web landing rejects merchant (404); no scoped ChatGPT claim; ChatGPT login may be required; preserve context only if independently verified; ShopAI connection step may be required; Invalid merchant must not become ChatGPT scope; Check repeat_open behavior independently,Not observed; real account/device and published app required,external verification required,
U015-047,desktop_browser,logged_out,not_connected,invalid_slug,instagram_bio,new_conversation,Web landing rejects merchant (404); no scoped ChatGPT claim; ChatGPT login may be required; preserve context only if independently verified; ShopAI connection step may be required; Invalid merchant must not become ChatGPT scope; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
U015-048,desktop_browser,logged_out,not_connected,invalid_slug,instagram_bio,repeat_open,Web landing rejects merchant (404); no scoped ChatGPT claim; ChatGPT login may be required; preserve context only if independently verified; ShopAI connection step may be required; Invalid merchant must not become ChatGPT scope; Check repeat_open behavior independently,Not observed; real account/device and published app required,external verification required,
U015-049,mobile_browser,logged_in,connected,merchant_A,absent,new_conversation,Web landing resolves active/public merchant_A; no campaign; ChatGPT login already present; ShopAI connection present; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
U015-050,mobile_browser,logged_in,connected,merchant_A,absent,repeat_open,Web landing resolves active/public merchant_A; no campaign; ChatGPT login already present; ShopAI connection present; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check repeat_open behavior independently,Not observed; real account/device and published app required,external verification required,
U015-051,mobile_browser,logged_in,connected,merchant_A,instagram_bio,new_conversation,Web landing resolves active/public merchant_A; campaign validated in web session; ChatGPT login already present; ShopAI connection present; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
U015-052,mobile_browser,logged_in,connected,merchant_A,instagram_bio,repeat_open,Web landing resolves active/public merchant_A; campaign validated in web session; ChatGPT login already present; ShopAI connection present; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check repeat_open behavior independently,Not observed; real account/device and published app required,external verification required,
U015-053,mobile_browser,logged_in,connected,merchant_B,absent,new_conversation,Web landing resolves active/public merchant_B; no campaign; ChatGPT login already present; ShopAI connection present; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
U015-054,mobile_browser,logged_in,connected,merchant_B,absent,repeat_open,Web landing resolves active/public merchant_B; no campaign; ChatGPT login already present; ShopAI connection present; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check repeat_open behavior independently,Not observed; real account/device and published app required,external verification required,
U015-055,mobile_browser,logged_in,connected,merchant_B,instagram_bio,new_conversation,Web landing resolves active/public merchant_B; campaign validated in web session; ChatGPT login already present; ShopAI connection present; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
U015-056,mobile_browser,logged_in,connected,merchant_B,instagram_bio,repeat_open,Web landing resolves active/public merchant_B; campaign validated in web session; ChatGPT login already present; ShopAI connection present; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check repeat_open behavior independently,Not observed; real account/device and published app required,external verification required,
U015-057,mobile_browser,logged_in,connected,invalid_slug,absent,new_conversation,Web landing rejects merchant (404); no scoped ChatGPT claim; ChatGPT login already present; ShopAI connection present; Invalid merchant must not become ChatGPT scope; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
U015-058,mobile_browser,logged_in,connected,invalid_slug,absent,repeat_open,Web landing rejects merchant (404); no scoped ChatGPT claim; ChatGPT login already present; ShopAI connection present; Invalid merchant must not become ChatGPT scope; Check repeat_open behavior independently,Not observed; real account/device and published app required,external verification required,
U015-059,mobile_browser,logged_in,connected,invalid_slug,instagram_bio,new_conversation,Web landing rejects merchant (404); no scoped ChatGPT claim; ChatGPT login already present; ShopAI connection present; Invalid merchant must not become ChatGPT scope; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
U015-060,mobile_browser,logged_in,connected,invalid_slug,instagram_bio,repeat_open,Web landing rejects merchant (404); no scoped ChatGPT claim; ChatGPT login already present; ShopAI connection present; Invalid merchant must not become ChatGPT scope; Check repeat_open behavior independently,Not observed; real account/device and published app required,external verification required,
U015-061,mobile_browser,logged_in,not_connected,merchant_A,absent,new_conversation,Web landing resolves active/public merchant_A; no campaign; ChatGPT login already present; ShopAI connection step may be required; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
U015-062,mobile_browser,logged_in,not_connected,merchant_A,absent,repeat_open,Web landing resolves active/public merchant_A; no campaign; ChatGPT login already present; ShopAI connection step may be required; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check repeat_open behavior independently,Not observed; real account/device and published app required,external verification required,
U015-063,mobile_browser,logged_in,not_connected,merchant_A,instagram_bio,new_conversation,Web landing resolves active/public merchant_A; campaign validated in web session; ChatGPT login already present; ShopAI connection step may be required; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
U015-064,mobile_browser,logged_in,not_connected,merchant_A,instagram_bio,repeat_open,Web landing resolves active/public merchant_A; campaign validated in web session; ChatGPT login already present; ShopAI connection step may be required; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check repeat_open behavior independently,Not observed; real account/device and published app required,external verification required,
U015-065,mobile_browser,logged_in,not_connected,merchant_B,absent,new_conversation,Web landing resolves active/public merchant_B; no campaign; ChatGPT login already present; ShopAI connection step may be required; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
U015-066,mobile_browser,logged_in,not_connected,merchant_B,absent,repeat_open,Web landing resolves active/public merchant_B; no campaign; ChatGPT login already present; ShopAI connection step may be required; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check repeat_open behavior independently,Not observed; real account/device and published app required,external verification required,
U015-067,mobile_browser,logged_in,not_connected,merchant_B,instagram_bio,new_conversation,Web landing resolves active/public merchant_B; campaign validated in web session; ChatGPT login already present; ShopAI connection step may be required; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
U015-068,mobile_browser,logged_in,not_connected,merchant_B,instagram_bio,repeat_open,Web landing resolves active/public merchant_B; campaign validated in web session; ChatGPT login already present; ShopAI connection step may be required; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check repeat_open behavior independently,Not observed; real account/device and published app required,external verification required,
U015-069,mobile_browser,logged_in,not_connected,invalid_slug,absent,new_conversation,Web landing rejects merchant (404); no scoped ChatGPT claim; ChatGPT login already present; ShopAI connection step may be required; Invalid merchant must not become ChatGPT scope; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
U015-070,mobile_browser,logged_in,not_connected,invalid_slug,absent,repeat_open,Web landing rejects merchant (404); no scoped ChatGPT claim; ChatGPT login already present; ShopAI connection step may be required; Invalid merchant must not become ChatGPT scope; Check repeat_open behavior independently,Not observed; real account/device and published app required,external verification required,
U015-071,mobile_browser,logged_in,not_connected,invalid_slug,instagram_bio,new_conversation,Web landing rejects merchant (404); no scoped ChatGPT claim; ChatGPT login already present; ShopAI connection step may be required; Invalid merchant must not become ChatGPT scope; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
U015-072,mobile_browser,logged_in,not_connected,invalid_slug,instagram_bio,repeat_open,Web landing rejects merchant (404); no scoped ChatGPT claim; ChatGPT login already present; ShopAI connection step may be required; Invalid merchant must not become ChatGPT scope; Check repeat_open behavior independently,Not observed; real account/device and published app required,external verification required,
U015-073,mobile_browser,logged_out,connected,merchant_A,absent,new_conversation,Web landing resolves active/public merchant_A; no campaign; ChatGPT login may be required; preserve context only if independently verified; ShopAI connection present; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
U015-074,mobile_browser,logged_out,connected,merchant_A,absent,repeat_open,Web landing resolves active/public merchant_A; no campaign; ChatGPT login may be required; preserve context only if independently verified; ShopAI connection present; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check repeat_open behavior independently,Not observed; real account/device and published app required,external verification required,
U015-075,mobile_browser,logged_out,connected,merchant_A,instagram_bio,new_conversation,Web landing resolves active/public merchant_A; campaign validated in web session; ChatGPT login may be required; preserve context only if independently verified; ShopAI connection present; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
U015-076,mobile_browser,logged_out,connected,merchant_A,instagram_bio,repeat_open,Web landing resolves active/public merchant_A; campaign validated in web session; ChatGPT login may be required; preserve context only if independently verified; ShopAI connection present; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check repeat_open behavior independently,Not observed; real account/device and published app required,external verification required,
U015-077,mobile_browser,logged_out,connected,merchant_B,absent,new_conversation,Web landing resolves active/public merchant_B; no campaign; ChatGPT login may be required; preserve context only if independently verified; ShopAI connection present; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
U015-078,mobile_browser,logged_out,connected,merchant_B,absent,repeat_open,Web landing resolves active/public merchant_B; no campaign; ChatGPT login may be required; preserve context only if independently verified; ShopAI connection present; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check repeat_open behavior independently,Not observed; real account/device and published app required,external verification required,
U015-079,mobile_browser,logged_out,connected,merchant_B,instagram_bio,new_conversation,Web landing resolves active/public merchant_B; campaign validated in web session; ChatGPT login may be required; preserve context only if independently verified; ShopAI connection present; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
U015-080,mobile_browser,logged_out,connected,merchant_B,instagram_bio,repeat_open,Web landing resolves active/public merchant_B; campaign validated in web session; ChatGPT login may be required; preserve context only if independently verified; ShopAI connection present; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check repeat_open behavior independently,Not observed; real account/device and published app required,external verification required,
U015-081,mobile_browser,logged_out,connected,invalid_slug,absent,new_conversation,Web landing rejects merchant (404); no scoped ChatGPT claim; ChatGPT login may be required; preserve context only if independently verified; ShopAI connection present; Invalid merchant must not become ChatGPT scope; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
U015-082,mobile_browser,logged_out,connected,invalid_slug,absent,repeat_open,Web landing rejects merchant (404); no scoped ChatGPT claim; ChatGPT login may be required; preserve context only if independently verified; ShopAI connection present; Invalid merchant must not become ChatGPT scope; Check repeat_open behavior independently,Not observed; real account/device and published app required,external verification required,
U015-083,mobile_browser,logged_out,connected,invalid_slug,instagram_bio,new_conversation,Web landing rejects merchant (404); no scoped ChatGPT claim; ChatGPT login may be required; preserve context only if independently verified; ShopAI connection present; Invalid merchant must not become ChatGPT scope; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
U015-084,mobile_browser,logged_out,connected,invalid_slug,instagram_bio,repeat_open,Web landing rejects merchant (404); no scoped ChatGPT claim; ChatGPT login may be required; preserve context only if independently verified; ShopAI connection present; Invalid merchant must not become ChatGPT scope; Check repeat_open behavior independently,Not observed; real account/device and published app required,external verification required,
U015-085,mobile_browser,logged_out,not_connected,merchant_A,absent,new_conversation,Web landing resolves active/public merchant_A; no campaign; ChatGPT login may be required; preserve context only if independently verified; ShopAI connection step may be required; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
U015-086,mobile_browser,logged_out,not_connected,merchant_A,absent,repeat_open,Web landing resolves active/public merchant_A; no campaign; ChatGPT login may be required; preserve context only if independently verified; ShopAI connection step may be required; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check repeat_open behavior independently,Not observed; real account/device and published app required,external verification required,
U015-087,mobile_browser,logged_out,not_connected,merchant_A,instagram_bio,new_conversation,Web landing resolves active/public merchant_A; campaign validated in web session; ChatGPT login may be required; preserve context only if independently verified; ShopAI connection step may be required; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
U015-088,mobile_browser,logged_out,not_connected,merchant_A,instagram_bio,repeat_open,Web landing resolves active/public merchant_A; campaign validated in web session; ChatGPT login may be required; preserve context only if independently verified; ShopAI connection step may be required; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check repeat_open behavior independently,Not observed; real account/device and published app required,external verification required,
U015-089,mobile_browser,logged_out,not_connected,merchant_B,absent,new_conversation,Web landing resolves active/public merchant_B; no campaign; ChatGPT login may be required; preserve context only if independently verified; ShopAI connection step may be required; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
U015-090,mobile_browser,logged_out,not_connected,merchant_B,absent,repeat_open,Web landing resolves active/public merchant_B; no campaign; ChatGPT login may be required; preserve context only if independently verified; ShopAI connection step may be required; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check repeat_open behavior independently,Not observed; real account/device and published app required,external verification required,
U015-091,mobile_browser,logged_out,not_connected,merchant_B,instagram_bio,new_conversation,Web landing resolves active/public merchant_B; campaign validated in web session; ChatGPT login may be required; preserve context only if independently verified; ShopAI connection step may be required; Merchant must be explicitly selected/confirmed and server-validated; no automatic context transfer assumed; Check new_conversation behavior independently,Not observed; real account/device and published app required,external verification required,
